Range,Variance,Standard Deviation,Interquartile Range (IQR),Upperquartile Range (UQR),Coefficient of Variation (CV),Entropy
0.06632770888973027,5.743451615973293e-05,0.007578556337438743,0.06096353614702821,0.0033741798251867294,112.92048369632322,4.66780386267392
0.03478989435825497,2.0800333069688624e-05,0.004560738215430548,0.028428942430764437,0.0035618250258266926,67.95500376887816,4.834410760301569
0.051495515275746584,4.4140270814281354e-05,0.00664381447771394,0.04590084496885538,0.0032252126839011908,98.99283627110329,4.7351085914950595
0.04859759914688766,4.968239278117472e-05,0.007048573811855468,0.04252694267779589,0.004137867828831077,105.02374244859642,4.651003705451899
0.05502566823270172,4.452380503482032e-05,0.0066726160563020795,0.049087551422417164,0.004285525996237993,99.42197177351564,4.702182260580095
0.34865401906426996,0.0008196260078020542,0.02862911119476213,0.34565818356350064,0.001946951262652874,426.57376519444875,3.6678771647935617
0.05325400235597044,4.3214770893466124e-05,0.006573794253965219,0.04648215975612402,0.004906185436993837,97.94953359728672,4.689799696173072
0.10522644477896392,0.00014005846533910623,0.011834629919820316,0.10001620696857572,0.00339360348880291,176.33597628023355,4.447945427650772
0.033913358696736395,2.8513749370793774e-05,0.005339826717300269,0.026852253824472427,0.004473938373848796,79.56342108879203,4.767176757753914
0.023218588321469724,1.4365985883779596e-05,0.0037902487891666946,0.017004210501909256,0.004055228549987078,56.47470926624077,4.869481949321591
0.07609684346243739,6.0106363169520054e-05,0.007752829365432987,0.07130299508571625,0.003192150266841054,115.51715792149457,4.683839864710099
0.033211975009180605,2.083186471006968e-05,0.00456419376342303,0.027195336297154427,0.003917953232303262,68.00648842880966,4.824557600721372
0.03131026937626302,2.387476894823114e-05,0.004886181428091997,0.024789181537926197,0.003957672277465463,72.80410497367342,4.797828485181954
0.05350658600218594,3.689283420209386e-05,0.006073947168200746,0.047543978318572044,0.003875205758959055,90.50181396512887,4.749246104254053
0.025623852852731943,1.1663494235509388e-05,0.003415185827375926,0.019826726987957954,0.003368533216416836,50.886268211811405,4.89670852481613
0.06250992557033896,5.545193195581599e-05,0.00744660539815398,0.05742840375751257,0.0032427720725536346,110.9544277304837,4.659063344969198
0.05126728571485728,3.507417848419018e-05,0.005922345691040855,0.045660372357815504,0.0031680138781666756,88.24294813584545,4.762125605219373
0.10633888887241483,9.929896500848822e-05,0.009964886602891587,0.10107928747311234,0.0032067839056253433,148.47681330424558,4.559050938180707
0.08583973266649991,7.154913131951162e-05,0.008458671959563843,0.08041734341531992,0.0038087437860667706,126.03422474233044,4.639484241639301
0.05178041884209961,4.03626688216293e-05,0.0063531621120218006,0.04571740282699466,0.003527301363646984,94.66211404752929,4.736003843393087
0.07315683900378644,6.503726772744963e-05,0.008064568663446894,0.06781074637547135,0.0032405611127614975,120.1620761488855,4.6591124249514735
0.030156868742778897,2.1594828983911752e-05,0.004647023669394396,0.023696493823081255,0.003962730756029487,69.2406502638354,4.817723403226932
0.059186194208450615,4.963154843615485e-05,0.007044966177076711,0.052958386950194836,0.00446088588796556,104.96999211578594,4.676300852377564
0.15106028085574508,0.0001991679169234408,0.014112686382239238,0.14729095809161663,0.0019002433400601149,210.27902907822042,4.33772029611529
0.03561639855615795,3.668883873775854e-05,0.006057131230026186,0.03045740956440568,0.0036574287805706263,90.25125389848864,4.724544054712087
0.4542061356478371,0.001378148087165292,0.03712341696510832,0.4510238883085549,0.0017076842486858368,553.1388889221955,3.2217498341367516
0.033166889334097505,2.562066107378788e-05,0.0050616855961021405,0.026267395354807377,0.004856983432546258,75.41911490780511,4.785345477076882
0.041614900110289454,5.040365277421761e-05,0.007099552998197676,0.03607522044330835,0.0033852807246148586,105.78334043666307,4.648806608676655
0.12340319529175758,0.00013361507572093567,0.011559198749088782,0.11864548036828637,0.0033633538987487555,172.23207718123,4.441067289134255
0.06691429927013814,4.953702079517132e-05,0.007038254101350087,0.060893330723047256,0.003972314298152924,104.86998383934032,4.698286149446295
0.05748008261434734,3.6501909338504806e-05,0.0060416810027098256,0.05222474317997694,0.0033913888037204742,90.02104302092047,4.770393002449597
0.019115726347081363,1.3662259411907578e-05,0.003696249370903914,0.012238680385053158,0.004291357006877661,55.074118370578,4.869336559018716
0.13926340802572668,0.00016450141358984906,0.012825810445732038,0.134801238309592,0.0026314875576645136,191.10456400596522,4.416573410534356
0.1092422113288194,0.00011535374284466832,0.010740285975925795,0.10456212470307946,0.002747718244791031,160.03026310922152,4.516113213883941
0.03797498717904091,2.3022830221342277e-05,0.004798211148057396,0.031363255344331264,0.003574096132069826,71.49334782057696,4.819019733964883
0.13651070720516145,0.00018593475769376844,0.013635789588203847,0.13240502355620265,0.00233406201004982,203.17325727179121,4.331108903529632
0.08352772786747664,6.169514659681022e-05,0.007854625808834576,0.07704229187220335,0.004518984584137797,117.03393331221635,4.667589131134029
0.0378520917147398,3.7415067651715244e-05,0.006116785728772526,0.03205061890184879,0.0038838968612253666,91.14011130566985,4.70719393054037
0.0542312323814258,5.019651858053097e-05,0.007084950146651067,0.04846122255548835,0.003788845846429467,105.56576850370544,4.670791987076685
0.03319012059364468,2.5343373274305154e-05,0.0050342202250502665,0.026832744479179382,0.0041861392091959715,75.00988076818491,4.798646313999614
0.01179454755038023,4.075351427499091e-06,0.002018749966563242,0.006416598334908485,0.003104823175817728,30.0793758884656,4.960266472252549
0.05770470295101404,3.488869117455282e-05,0.0059066649790345165,0.05154333729296923,0.004444177029654384,88.00930917119497,4.768384594451225
